Index,Model,Percentile,CVE_MUN,Scenario,TimeAggregate,Year
1,1,10,21123,1,1,1981
1,1,10,21126,1,1,1987
1,1,10,21127,1,1,2007
1,1,10,21128,1,1,2009
1,1,90,21130,1,1,1992
1,1,90,21131,1,1,2003
1,1,90,21135,1,1,2005
1,1,90,21136,1,1,2013
1,1,90,21138,1,1,2015
1,1,90,21140,1,1,2018
1,1,90,21141,1,1,2026
1,1,90,21142,1,1,2031
1,1,90,21143,1,1,2034
1,1,90,21146,1,1,2038
1,1,90,21147,1,1,2039
1,1,90,21149,1,1,2044
1,1,90,21150,1,1,2045
1,1,90,21152,1,1,2051
1,1,90,21156,1,1,2054
1,1,90,21157,1,1,2057
1,1,90,21158,1,1,2059
1,1,90,21159,1,1,2060
1,1,90,21162,1,1,2061
1,1,90,21165,1,1,2062
1,1,90,21166,1,1,2064
1,1,90,21169,1,1,2065
1,1,90,21170,1,1,2070
1,1,90,21172,1,1,2073
1,1,90,21173,1,1,2074
1,1,90,21174,1,1,2076
1,1,90,21175,1,1,2077
1,1,90,21180,1,1,2078
1,1,90,21181,1,1,2079
1,1,90,21182,1,1,2081
1,1,90,21184,1,1,2082
1,1,90,21185,1,1,2083
1,1,90,21187,1,1,2084
1,1,90,21190,1,1,2085
1,1,90,21191,1,1,2086
1,1,90,21192,1,1,2087
1,1,90,21195,1,1,2089
1,1,90,21196,1,1,2090
1,1,90,21197,1,1,2091
1,1,90,21198,1,1,2092
1,1,90,21201,1,1,2093
1,1,90,21202,1,1,2094
1,1,90,21207,1,1,2095
1,1,90,21208,1,1,2096
1,1,90,21211,1,1,2097
1,1,90,21212,1,1,2098
1,1,90,21215,1,1,2099
1,1,90,21199,1,1,2100
1,1,10,21205,1,1,1974
1,1,10,21177,1,1,1981
1,1,10,21111,1,1,1998
1,1,10,21051,1,1,2009
1,1,10,21020,1,1,2058
1,1,10,21004,1,1,2063
1,1,90,21013,1,2,1994
1,1,90,21035,1,2,1995
1,1,90,21115,1,2,2002
1,1,90,21154,1,2,2003
1,1,90,21194,1,2,2006
1,1,90,21001,1,2,2007
1,1,90,21065,1,2,2008
1,1,90,21129,1,2,2011
1,1,90,21161,1,2,2018
1,1,90,21214,1,2,2026
1,1,90,21034,1,2,2027
1,1,90,21060,1,2,2028
1,1,90,21153,1,2,2033
1,1,90,21189,1,2,2038
1,1,90,21163,1,2,2044
1,1,90,21003,1,2,2045
1,1,90,21019,1,2,2049
1,1,90,21110,1,2,2052
1,1,90,21117,1,2,2053
1,1,90,21005,1,2,2054
1,1,90,21006,1,2,2055
1,1,90,21008,1,2,2056
1,1,90,21016,1,2,2057
1,1,90,21018,1,2,2059
1,1,90,21021,1,2,2060
1,1,90,21025,1,2,2062
1,1,90,21030,1,2,2063
1,1,90,21032,1,2,2064
1,1,90,21038,1,2,2065
1,1,90,21040,1,2,2066
1,1,90,21042,1,2,2067
1,1,90,21043,1,2,2068
1,1,90,21050,1,2,2069
1,1,90,21052,1,2,2070
1,1,90,21057,1,2,2071
1,1,90,21058,1,2,2072
1,1,90,21061,1,2,2073
1,1,90,21068,1,2,2074
1,1,90,21071,1,2,2075
1,1,90,21074,1,2,2076
1,1,90,21075,1,2,2077
1,1,90,21080,1,2,2078
1,1,90,21084,1,2,2079
1,1,90,21087,1,2,2080
1,1,90,21091,1,2,2081
1,1,90,21096,1,2,2082
1,1,90,21099,1,2,2083
1,1,90,21101,1,2,2084
1,1,90,21105,1,2,2088
1,1,90,21107,1,2,2089
1,1,90,21113,1,2,2090
1,1,90,21118,1,2,2091
1,1,90,21120,1,2,2092
1,1,90,21125,1,2,2093
1,1,90,21139,1,2,2094
1,1,90,21124,1,2,2095
1,1,90,21133,1,2,2096
1,1,90,21134,1,2,2097
1,1,90,21137,1,2,2098
1,1,90,21145,1,2,2099
1,1,90,21148,1,2,2100
1,1,10,21151,1,2,1972
1,1,10,21160,1,2,1973
1,1,10,21167,1,2,1977
1,1,10,21168,1,2,1978
1,1,10,21171,1,2,1980
1,1,10,21176,1,2,1983
1,1,10,21178,1,2,1993
1,1,10,21179,1,2,2023
1,1,90,21183,1,2,1982
1,1,90,21186,1,2,1990
1,1,90,21188,1,2,1995
1,1,90,21193,1,2,1997
1,1,90,21200,1,2,2000
1,1,90,21203,1,2,2002
1,1,90,21204,1,2,2003
1,1,90,21206,1,2,2006
1,1,90,21209,1,2,2007
1,1,90,21210,1,2,2008
1,1,90,21213,1,2,2011
1,1,90,21164,1,2,2024
1,1,90,21144,1,2,2026
1,1,90,21085,1,2,2027
1,1,90,21064,1,2,2030
1,1,90,21102,1,2,2034
1,1,90,21047,1,2,2038
1,1,90,21015,1,2,2044
1,1,90,21106,1,2,2045
1,1,90,21010,1,2,2049
1,1,90,21090,1,2,2053
1,1,90,21079,1,2,2054
1,1,90,21217,1,2,2057
1,1,90,21132,1,2,2059
1,1,90,21048,1,2,2060
1,1,90,21114,1,2,2062
1,1,90,21119,1,2,2063
1,1,90,22017,1,2,2064
1,1,90,22003,1,2,2065
1,1,90,22016,1,2,2066
1,1,90,22008,1,2,2068
1,1,90,22009,1,2,2069
1,1,90,22012,1,2,2070
1,1,90,22006,1,2,2071
1,1,90,22010,1,2,2072
1,1,90,22002,1,2,2073
1,1,90,22004,1,2,2074
1,1,90,22001,1,2,2075
1,1,90,22015,1,2,2076
1,1,90,22013,1,2,2077
1,1,90,22018,1,2,2078
1,1,90,22005,1,2,2080
1,1,90,22007,1,2,2081
1,1,90,22011,1,2,2082
1,1,90,22014,1,2,2083
1,1,90,23001,1,2,2084
1,1,90,23002,1,2,2086
1,1,90,23003,1,2,2088
1,1,90,23004,1,2,2089
1,1,90,23005,1,2,2090
1,1,90,23006,1,2,2091
1,1,90,23007,1,2,2092
1,1,90,23008,1,2,2093
1,1,90,23009,1,2,2094
1,1,90,23010,1,2,2095
1,1,90,24058,1,2,2096
1,1,90,24057,1,2,2097
1,1,90,24056,1,2,2098
1,1,90,24055,1,2,2099
1,1,90,24054,1,2,2100
1,1,10,24053,1,2,1972
1,1,10,24052,1,2,1977
1,1,10,24040,1,2,1978
1,1,10,24038,1,2,1983
1,1,10,24047,1,2,1993
1,1,10,24046,1,2,1996
1,1,10,24041,1,2,2005
1,1,10,24037,1,2,2023
1,1,10,24045,1,2,2029
1,1,90,24044,1,2,1990
1,1,90,24051,1,2,1994
1,1,90,24043,1,2,1995
1,1,90,24039,1,2,2003
1,1,90,24050,1,2,2006
1,1,90,24049,1,2,2007
1,1,90,24048,1,2,2008
1,1,90,24042,1,2,2011
1,1,90,24021,1,2,2012
1,1,90,24020,1,2,2026
1,1,90,24035,1,2,2027
1,1,90,24033,1,2,2038
1,1,90,24019,1,2,2044
1,1,90,24018,1,2,2045
1,1,90,24003,1,2,2049
1,1,90,24034,1,2,2054
1,1,90,24017,1,2,2056
1,1,90,24016,1,2,2057
1,1,90,24032,1,2,2059
1,1,90,24015,1,2,2060
1,1,90,24014,1,2,2062
1,1,90,24031,1,2,2063
1,1,90,24030,1,2,2065
1,1,90,24013,1,2,2066
1,1,90,24012,1,2,2068
1,1,90,24011,1,2,2069
1,1,90,24010,1,2,2070
1,1,90,24009,1,2,2071
1,1,90,24029,1,2,2072
1,1,90,24008,1,2,2073
1,1,90,24007,1,2,2075
1,1,90,24006,1,2,2076
1,1,90,24028,1,2,2077
1,1,90,24005,1,2,2080
1,1,90,24004,1,2,2081
1,1,90,24027,1,2,2082
1,1,90,24026,1,2,2083
1,1,90,24025,1,2,2084
1,1,90,24024,1,2,2088
1,1,90,24002,1,2,2089
1,1,90,24001,1,2,2090
1,1,90,24023,1,2,2091
1,1,90,24022,1,2,2092
1,1,90,24036,1,2,2093
1,1,90,25017,1,2,2094
1,1,90,25012,1,2,2095
1,1,90,25001,1,2,2096
1,1,90,25010,1,2,2097
1,1,90,25011,1,2,2098
1,1,90,25003,1,2,2099
1,1,90,25004,1,2,2100
1,1,10,25013,1,2,1972
1,1,10,25014,1,2,1973
1,1,10,25005,1,2,1977
1,1,10,25007,1,2,1978
1,1,10,25015,1,2,1980
1,1,10,25016,1,2,1983
1,1,10,25018,1,2,1993
1,1,10,25008,1,2,2005
1,1,10,25006,1,2,2023
1,1,10,25009,1,2,2029
1,1,90,25002,1,2,1990
1,1,90,26072,1,2,1995
1,1,90,26071,1,2,2000
1,1,90,26045,1,2,2002
1,1,90,26044,1,2,2003
1,1,90,26043,1,2,2006
1,1,90,26041,1,2,2007
1,1,90,26039,1,2,2008
1,1,90,26070,1,2,2011
1,1,90,26067,1,2,2024
1,1,90,26066,1,2,2026
1,1,90,26065,1,2,2027
1,1,90,26040,1,2,2034
1,1,90,26038,1,2,2038
1,1,90,26037,1,2,2044
1,1,90,26069,1,2,2045
1,1,90,26063,1,2,2049
1,1,90,26036,1,2,2054
1,1,90,26035,1,2,2057
1,1,90,26034,1,2,2059
1,1,90,26031,1,2,2060
1,1,90,26064,1,2,2062
1,1,90,26062,1,2,2063
1,1,90,26068,1,2,2064
1,1,90,26028,1,2,2065
1,1,90,26027,1,2,2066
1,1,90,26061,1,2,2068
1,1,90,26060,1,2,2069
1,1,90,26059,1,2,2070
1,1,90,26025,1,2,2071
1,1,90,26058,1,2,2072
1,1,90,26057,1,2,2073
1,1,90,26026,1,2,2074
1,1,90,26024,1,2,2075
1,1,90,26023,1,2,2076
1,1,90,26022,1,2,2077
1,1,90,26056,1,2,2078
1,1,90,26054,1,2,2080
1,1,90,26053,1,2,2081
1,1,90,26052,1,2,2082
1,1,90,26042,1,2,2083
1,1,90,26021,1,2,2084
1,1,90,26020,1,2,2086
1,1,90,26019,1,2,2088
1,1,90,26014,1,2,2089
1,1,90,26012,1,2,2090
1,1,90,26051,1,2,2091
1,1,90,26033,1,2,2092
1,1,90,26018,1,2,2093
1,1,90,26016,1,2,2094
1,1,90,26032,1,2,2095
1,1,90,26015,1,2,2096
1,1,90,26055,1,2,2097
1,1,90,26029,1,2,2098
1,1,90,26030,1,2,2099
1,1,90,26013,1,2,2100
1,1,10,26011,1,2,1972
1,1,10,26010,1,2,1977
1,1,10,26009,1,2,1978
1,1,10,26048,1,2,1983
1,1,10,26008,1,2,1993
1,1,10,26007,1,2,2005
1,1,10,26006,1,2,2023
1,1,90,26005,1,2,1990
1,1,90,26001,1,2,1995
1,1,90,26017,1,2,2000
1,1,90,26050,1,2,2002
1,1,90,26049,1,2,2003
1,1,90,26004,1,2,2006
1,1,90,26003,1,2,2007
1,1,90,26047,1,2,2008
1,1,90,26046,1,2,2011
1,1,90,26002,1,2,2018
1,1,90,27001,1,2,2024
1,1,90,27002,1,2,2026
1,1,90,27003,1,2,2027
1,1,90,27004,1,2,2034
1,1,90,27005,1,2,2038
1,1,90,27006,1,2,2044
1,1,90,27007,1,2,2045
1,1,90,27008,1,2,2049
1,1,90,27009,1,2,2053
1,1,90,27010,1,2,2054
1,1,90,27011,1,2,2055
1,1,90,27012,1,2,2057
1,1,90,27013,1,2,2059
1,1,90,27014,1,2,2060
1,1,90,27015,1,2,2062
1,1,90,27016,1,2,2063
1,1,90,27017,1,2,2064
1,1,90,29033,1,2,2065
1,1,90,29010,1,2,2066
1,1,90,29014,1,2,2068
1,1,90,29034,1,2,2069
1,1,90,29035,1,2,2070
1,1,90,29002,1,2,2071
1,1,90,29015,1,2,2072
1,1,90,29016,1,2,2073
1,1,90,29019,1,2,2075
1,1,90,29024,1,2,2076
1,1,90,29036,1,2,2077
1,1,90,29037,1,2,2080
1,1,90,29003,1,2,2081
1,1,90,29017,1,2,2082
1,1,90,29038,1,2,2083
1,1,90,29004,1,2,2084
1,1,90,29018,1,2,2088
1,1,90,29028,1,2,2089
1,1,90,29039,1,2,2090
1,1,90,29040,1,2,2091
1,1,90,29005,1,2,2092
1,1,90,29021,1,2,2093
1,1,90,29006,1,2,2094
1,1,90,29022,1,2,2095
1,1,90,29030,1,2,2096
1,1,90,29047,1,2,2097
1,1,90,29048,1,2,2098
1,1,90,29007,1,2,2099
1,1,90,29023,1,2,2100
1,1,10,29025,1,2,1972
1,1,10,29031,1,2,1977
1,1,10,29059,1,2,1978
1,1,10,29060,1,2,1983
1,1,10,29008,1,2,1993
1,1,10,29041,1,2,2023
1,1,10,29042,1,2,2029
1,1,90,29009,1,2,1989
1,1,90,29026,1,2,1994
1,1,90,29027,1,2,1995
1,1,90,29049,1,2,2002
1,1,90,29051,1,2,2006
1,1,90,29053,1,2,2007
1,1,90,29054,1,2,2008
1,1,90,29050,1,2,2011
1,1,90,29011,1,2,2018
1,1,90,29029,1,2,2024
1,1,90,29043,1,2,2026
1,1,90,29044,1,2,2027
1,1,90,29052,1,2,2028
1,1,90,29055,1,2,2030
1,1,90,29012,1,2,2033
1,1,90,29056,1,2,2036
1,1,90,29057,1,2,2037
1,1,90,29058,1,2,2038
1,1,90,29032,1,2,2040
1,1,90,29045,1,2,2044
1,1,90,29046,1,2,2045
1,1,90,29013,1,2,2049
1,1,90,29020,1,2,2052
1,1,90,29001,1,2,2053
1,1,90,28001,1,2,2054
1,1,90,28002,1,2,2055
1,1,90,28003,1,2,2056
1,1,90,28004,1,2,2057
1,1,90,28005,1,2,2058
1,1,90,28006,1,2,2059
1,1,90,28007,1,2,2060
1,1,90,28008,1,2,2062
1,1,90,28009,1,2,2063
1,1,90,28010,1,2,2064
1,1,90,28011,1,2,2065
1,1,90,28012,1,2,2066
1,1,90,28013,1,2,2067
1,1,90,28014,1,2,2068
1,1,90,28015,1,2,2069
1,1,90,28016,1,2,2070
1,1,90,28017,1,2,2071
1,1,90,28018,1,2,2072
1,1,90,28019,1,2,2073
1,1,90,28020,1,2,2074
1,1,90,28021,1,2,2075
1,1,90,28022,1,2,2076
1,1,90,28023,1,2,2077
1,1,90,28024,1,2,2078
1,1,90,28025,1,2,2079
1,1,90,28026,1,2,2080
1,1,90,28027,1,2,2081
1,1,90,28028,1,2,2082
1,1,90,28029,1,2,2083
1,1,90,28030,1,2,2084
1,1,90,28031,1,2,2085
1,1,90,28032,1,2,2086
1,1,90,28033,1,2,2087
1,1,90,28034,1,2,2088
1,1,90,28035,1,2,2089
1,1,90,28036,1,2,2090
1,1,90,28037,1,2,2091
1,1,90,28038,1,2,2092
1,1,90,28039,1,2,2093
1,1,90,28040,1,2,2094
1,1,90,28041,1,2,2095
1,1,90,28042,1,2,2096
1,1,90,28043,1,2,2097
1,1,90,30001,1,2,2098
1,1,90,30002,1,2,2099
1,1,90,30004,1,2,2100
1,1,10,30006,1,2,1972
1,1,10,30007,1,2,1979
1,1,10,30008,1,2,1980
1,1,10,30010,1,2,1993
1,1,10,30011,1,2,1999
1,1,90,30012,1,2,1976
1,1,90,30014,1,2,1982
1,1,90,30015,1,2,1990
1,1,90,30017,1,2,1994
1,1,90,30018,1,2,1995
1,1,90,30019,1,2,1997
1,1,90,30021,1,2,2000
1,1,90,30022,1,2,2002
1,1,90,30025,1,2,2003
1,1,90,30026,1,2,2007
1,1,90,30027,1,2,2008
1,1,90,30029,1,2,2011
1,1,90,30030,1,2,2012
1,1,90,30031,1,2,2018
1,1,90,30032,1,2,2024
1,1,90,30034,1,2,2026
1,1,90,30035,1,2,2027
1,1,90,30039,1,2,2028
1,1,90,30040,1,2,2030
1,1,90,30041,1,2,2034
1,1,90,30043,1,2,2038
1,1,90,30044,1,2,2040
1,1,90,30046,1,2,2044
1,1,90,30049,1,2,2045
1,1,90,30050,1,2,2049
1,1,90,30052,1,2,2053
1,1,90,30053,1,2,2054
1,1,90,30054,1,2,2055
1,1,90,30056,1,2,2057
1,1,90,30057,1,2,2059
1,1,90,30058,1,2,2060
1,1,90,30061,1,2,2062
1,1,90,30062,1,2,2063
1,1,90,30064,1,2,2064
1,1,90,30065,1,2,2065
1,1,90,30067,1,2,2066
1,1,90,30068,1,2,2068
1,1,90,30069,1,2,2069
1,1,90,30071,1,2,2070
1,1,90,30072,1,2,2071
1,1,90,30073,1,2,2072
1,1,90,30077,1,2,2073
1,1,90,30078,1,2,2075
1,1,90,30079,1,2,2076
1,1,90,30081,1,2,2077
1,1,90,30082,1,2,2078
1,1,90,30083,1,2,2080
1,1,90,30084,1,2,2081
1,1,90,30086,1,2,2082
1,1,90,30087,1,2,2083
1,1,90,30089,1,2,2084
1,1,90,30091,1,2,2088
1,1,90,30093,1,2,2089
1,1,90,30095,1,2,2090
1,1,90,30096,1,2,2091
1,1,90,30097,1,2,2092
1,1,90,30101,1,2,2093
1,1,90,30102,1,2,2094
1,1,90,30105,1,2,2095
1,1,90,30106,1,2,2096
1,1,90,30107,1,2,2097
1,1,90,30109,1,2,2098
1,1,90,30111,1,2,2099
1,1,90,30113,1,2,2100
1,1,10,30114,1,2,1972
